driver_id,driver_name,average_missing_rate,average_order_amount,total_trips,driver_age,cluster
WDID09872,Tonya Chung,0.0,291.25857142857143,35,18,2
WDID09873,Pamela Moore,0.07058823529411765,350.81363636363636,64,18,3
WDID09874,Billy Lawson,0.04558949822107716,259.8463636363636,37,18,3
WDID09875,Stephen Randolph,0.04621212121212121,257.4990909090909,64,18,1
WDID09876,Jordan Daniel,0.05934343434343434,266.8472727272727,53,18,3
WDID09877,James White,0.06341991341991342,304.00545454545454,14,18,3
WDID09878,Roger Green,0.0399435531788473,283.8445454545454,22,18,2
WDID09879,Shane Palmer,0.09996821360457724,476.03999999999996,35,18,3
WDID09880,Brittany Gordon,0.04487179487179487,307.66818181818184,36,18,3
WDID09881,Tracey Watkins,0.07178932178932179,317.6127272727273,26,18,3
WDID09882,Angela Young,0.05998217468805705,267.1027272727273,75,18,3
WDID09883,Charles Rios DVM,0.09032634032634033,259.9736363636364,62,18,3
WDID09884,James Winters,0.04924242424242424,281.1372727272728,22,18,3
WDID09885,Jacob Barker,0.02941919191919192,341.4109090909091,50,18,3
WDID09886,Jasmine Perez,0.07396331738437002,405.3736363636363,45,18,3
WDID09887,Debbie Cox,0.07324374971433795,318.25545454545454,62,18,3
WDID09888,Nancy Porter,0.11111111111111112,190.43818181818185,58,18,3
WDID09889,Carla James,0.051041373487193925,335.75272727272727,66,18,3
WDID09890,Cynthia Owens,0.059848484848484845,283.2018181818182,67,18,3
WDID09891,Justin Parsons,0.045815295815295816,273.26272727272726,16,18,2
WDID09892,Andrew Lambert,0.10984848484848485,282.5618181818182,34,18,3
WDID09893,Mrs. Valerie Schwartz MD,0.040512265512265506,267.9409090909091,77,18,1
WDID09894,Jennifer Wright,0.03878915202444614,257.83272727272725,61,18,1
WDID09895,Jason Moss,0.06735537190082645,159.4790909090909,18,18,3
WDID09896,Anthony Robertson,0.07004662004662005,317.5918181818182,77,18,3
WDID09897,Brandon Chavez,0.0,237.76,76,18,1
WDID09898,Judith Howard,0.0,341.6171428571428,58,18,1
WDID09899,Stephen Patton,0.0,275.76,47,18,1
WDID09900,Melissa Mcbride,0.0,294.28285714285715,37,18,2
WDID09901,Cassandra Nguyen,0.0,347.53000000000003,42,18,2
WDID09902,Patricia Vance,0.0,299.34857142857146,38,18,2
WDID09903,Paul Gomez,0.0,272.7471428571429,53,18,1
WDID09904,Chris Davis,0.0,262.88428571428574,43,18,2
WDID09905,Brandy Martinez,0.0,249.73285714285717,50,18,1
WDID09906,Michael Willis,0.0,232.08714285714288,23,18,2
WDID09907,Brandy Pittman,0.0,208.12000000000003,50,18,1
WDID09908,Ann Hall,0.0,237.24571428571429,64,18,1
WDID09909,John Walker,0.0,187.33714285714288,15,18,2
WDID09910,Oscar Roman,0.0,142.03857142857143,48,18,1
WDID09911,Kimberly Hayes,0.0,273.70285714285717,73,18,1
WDID09912,Michael Delgado,0.0,286.45428571428573,15,18,2
WDID09913,Tricia Larsen,0.0,392.0514285714286,78,18,1
WDID09914,Julie Rosales,0.0,327.82714285714286,18,18,2
WDID09915,Natasha Graves,0.0,210.01142857142855,56,18,1
WDID09916,Paul Lam,0.0,233.46428571428572,49,18,1
WDID09917,Jennifer Zimmerman,0.0,293.5842857142857,30,18,2
WDID09918,Shelby Wilson,0.0,238.27,58,18,1
WDID09919,John Rodriguez,0.0,328.6014285714286,65,18,1
WDID09920,William Brown,0.0,382.8528571428571,29,18,2
WDID09921,Charles Hernandez,0.0,259.1157142857143,49,18,1
WDID09922,Jacob Li,0.0,251.40285714285716,24,18,2
WDID09923,Eric Lawson,0.0,279.0028571428571,21,18,2
WDID09924,Nathan Davis,0.0,270.9614285714286,18,18,2
WDID09925,Rebecca Stephens,0.0,306.4614285714286,29,18,2
WDID09926,Laura Pearson,0.0,422.89285714285717,18,18,2
WDID09927,Stephanie Morgan,0.0,398.4871428571428,16,18,2
WDID09928,Kimberly Johnson,0.0,325.2785714285714,25,18,2
WDID09929,Kimberly Hall,0.0,301.2957142857143,74,18,1
WDID09930,Nicholas Johnson,0.0,308.6985714285714,64,18,1
WDID09931,Christopher Buck,0.0,281.18,24,18,2
WDID09932,Luis Baker,0.0,235.4257142857143,66,18,1
WDID09933,Nicholas Stewart,0.0,239.66857142857143,23,18,2
WDID09934,Robert Hogan,0.0,226.17857142857142,52,18,1
WDID09935,Cody Chavez,0.0,232.79285714285714,74,18,1
WDID09936,Alicia Terry,0.0,193.8014285714286,37,18,2
WDID09937,Daniel Mitchell,0.0,384.1014285714286,56,18,1
WDID09938,Thomas Mcfarland,0.0,254.95714285714286,15,18,2
WDID09939,Brian Douglas,0.0,341.70714285714286,21,18,2
WDID09940,Jessica Mercer,0.0,326.9371428571429,34,18,2
WDID09941,Kimberly Holden,0.0,291.0128571428571,41,18,2
WDID09942,Richard Williams,0.0,323.9042857142857,68,18,1
WDID09943,Shannon Preston,0.0,269.1657142857143,73,18,1
WDID09944,David Farmer,0.0,283.8614285714286,11,18,2
WDID09945,Carly Garrett,0.0,274.14142857142855,33,18,2
WDID09946,Christopher Perez,0.0,197.84142857142857,28,18,2
WDID09947,Brianna Austin,0.0,189.39714285714285,50,18,1
WDID09948,Deborah Foster,0.0,202.58571428571432,12,18,2
WDID09949,Jordan Holmes,0.0,363.70428571428573,74,18,1
